Peilbuis,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
DS-01112,0.04493,0.08601,0.074084,0.071506,0.062368,0.061792,0.069784,0.068108,0.059468,0.058918,0.081596,0.058699,0.025759,0.04228,0.066368,0.063074,0.02722,0.045419,0.059404,0.053012,0.014785,0.0080213,0.064565,0.053783,0.0018744,0.018207,0.057242,0.037095,0.0041723,0.04278,0.036372,0.023947,0.014854,0.019946,0.027422,0.041395,0.015951,0.025274,0.030843,0.029748,0.032884,0.015473,0.037621,0.050546,0.003037,0.032696,0.058284,0.06065,0.030061,0.03373,0.098363,0.11096,0.07243,0.086018,0.13404,0.11604,0.04513,0.049591,0.087293,0.067867,0.016104,0.072082,0.098926,0.10757,0.019859,0.030896,0.046,0.043098,-0.014031,0.0024804,0.037716,0.031494,-0.013125,0.044159,0.066268,0.045118,-0.033416,0.0058066,0.065817,0.067628,-0.018866,-0.017678,0.022397,0.077732,0.059522,0.055735,0.078672,0.073056,-0.063468,-0.013033,0.047929,0.087517
DS-01342,0.0026128,0.0035277,0.0021056,0.0022256,0.0025549,0.0029468,0.0027206,0.0023282,0.002208,0.0018643,0.0033224,0.0015201,0.00031377,0.0019613,0.0028793,0.0024102,0.00066928,0.0020365,0.0023118,0.0016495,0.00019853,0.00074394,0.0031162,0.0015215,-0.00041892,0.001202,0.0026398,0.0012327,9.27E-05,0.0024109,0.0013105,0.00084482,0.0009512,0.0019217,0.0017302,0.0021123,0.00057784,0.0018697,0.001519,0.0014525,0.0013474,0.0010332,0.0018642,0.0019696,-5.81E-05,0.0019727,0.0021215,0.0018078,0.0012566,0.0019153,0.0042175,0.0054274,0.0038747,0.0051074,0.0069764,0.0061109,0.0022116,0.0032506,0.0047632,0.00322,0.00099666,0.0043534,0.0051426,0.0047518,-0.00033172,0.0014778,0.0024967,0.0015539,-0.0011979,0.00034375,0.002446,0.0010685,-0.001247,0.002491,0.0026415,0.0012437,-0.0027605,0.00038669,0.0034748,0.0024913,-0.0030024,-0.0014098,0.0012376,0.0035461,0.0017534,0.0023061,0.0022418,0.0016316,-0.0044505,7.81E-05,-2.31E-05,0.0027609
DS-02022,0.12267,0.20089,0.16423,0.166,0.14254,0.14049,0.15431,0.15233,0.14044,0.14294,0.17838,0.13385,0.061918,0.097766,0.12332,0.12299,0.055846,0.097422,0.12653,0.11278,0.025149,0.018564,0.14262,0.11843,-0.016512,0.032805,0.11041,0.05988,-0.011433,0.080273,0.043542,0.017963,0.0028263,0.0081171,0.026508,0.064672,0.0151,0.031546,0.039589,0.038654,0.064165,0.031554,0.073497,0.1331,-0.0036191,0.10913,0.17613,0.17204,0.049352,0.099654,0.28045,0.27302,0.16541,0.21542,0.33973,0.27209,0.12295,0.17103,0.27506,0.20471,0.069859,0.23798,0.29883,0.31657,0.10889,0.15116,0.19191,0.16359,0.026514,0.071739,0.17127,0.14582,0.032104,0.18682,0.23295,0.16864,-0.0052544,0.08333,0.22284,0.23789,0.052375,0.047163,0.14814,0.26597,0.19859,0.19196,0.28337,0.24424,-0.065729,0.038211,0.26757,0.31306
DS-02062,0.20526,0.27273,0.17486,0.17838,0.15662,0.20021,0.19328,0.17837,0.15517,0.16614,0.23264,0.11239,0.039021,0.16436,0.17335,0.1505,0.041148,0.15842,0.17061,0.10096,0.0043389,0.062456,0.22091,0.1129,-0.069807,0.11216,0.18187,0.053722,-0.014789,0.1612,0.054003,0.056243,0.013325,0.07159,0.083574,0.11534,0.0041275,0.091748,0.081743,0.081814,0.066794,0.059074,0.11859,0.16322,-0.051084,0.20064,0.20988,0.16028,0.11364,0.23715,0.45493,0.36012,0.24977,0.40792,0.51095,0.38179,0.15746,0.32108,0.41068,0.27676,0.14219,0.41475,0.44936,0.40395,0.1058,0.23347,0.31142,0.21452,0.051398,0.15778,0.31818,0.16479,0.067085,0.34511,0.31907,0.17987,-0.080535,0.21198,0.37852,0.29164,-0.068886,0.056918,0.30182,0.41075,0.2054,0.35478,0.36431,0.23291,-0.2088,0.1637,0.37963,0.38566
DS-02103,0.018633,0.023124,0.017387,0.01242,0.010024,0.014432,0.015016,0.013869,0.013202,0.016347,0.021436,0.01009,0.0045115,0.016887,0.016437,0.017312,0.0066239,0.016884,0.01767,0.0079303,0.0053882,0.013274,0.022915,0.012279,0.0069322,0.013766,0.019126,0.009876,0.0068909,0.019042,0.0079355,0.010724,0.0050729,0.0053597,0.010018,0.011768,0.0047721,0.0084035,0.012006,0.012496,0.010511,0.013896,0.017511,0.013941,0.0051057,0.015457,0.016277,0.013206,0.0076219,0.014332,0.02599,0.014684,0.015435,0.027611,0.031535,0.01626,0.0035572,0.0058096,0.0085447,0.0058657,0.0058137,0.011912,0.013286,0.011234,0.0072602,0.0043452,0.0044648,0.0078081,0.0087151,0.0059765,0.005046,0.0072903,0.0084416,0.019085,0.013581,0.010215,0.010604,0.0085741,0.010593,0.0092409,0.01277,0.0093738,0.0096979,0.012052,0.010301,0.011773,0.020405,0.015843,0.01626,0.010486,0.012503,0.024361
DS-02272,0.14962,0.23215,0.16981,0.15786,0.12617,0.1485,0.16603,0.15425,0.13119,0.1406,0.19597,0.1101,0.035966,0.11601,0.15117,0.13482,0.045184,0.11897,0.14492,0.10131,0.0065904,0.03287,0.1756,0.10921,-0.032643,0.075277,0.14699,0.061499,0.002751,0.12101,0.070094,0.06383,0.01479,0.047958,0.073199,0.097877,0.015113,0.06202,0.075888,0.074107,0.058729,0.035469,0.092077,0.13678,-0.042003,0.14119,0.17554,0.14017,0.038584,0.13616,0.31782,0.24731,0.15317,0.26095,0.35905,0.26079,0.082431,0.17801,0.25848,0.17094,0.058105,0.25067,0.29676,0.28039,0.055204,0.11684,0.1719,0.12235,-0.01088,0.056324,0.17179,0.10124,0.0032859,0.20131,0.21774,0.1301,-0.064525,0.094171,0.23025,0.20538,-0.036925,0.0055654,0.15077,0.26367,0.15669,0.20635,0.26374,0.18488,-0.16582,0.045693,0.25669,0.27701
DS-02352,0.17425,0.24948,0.18759,0.18306,0.15484,0.17666,0.18561,0.161,0.14649,0.14694,0.20192,0.10615,0.060946,0.12274,0.12205,0.10536,0.041798,0.10601,0.1171,0.077603,0.01748,0.050558,0.15386,0.074346,-0.040487,0.061971,0.11232,0.015128,-0.028193,0.087937,0.013376,0.0069227,-0.016324,0.022477,0.027499,0.045382,-0.022049,0.036214,0.028452,0.023596,0.024631,0.017001,0.058921,0.15546,-0.063469,0.22852,0.23825,0.18561,-0.0035583,0.14783,0.37502,0.21185,0.10841,0.23912,0.34397,0.21188,0.082768,0.24189,0.31946,0.18827,0.085839,0.32172,0.34889,0.30758,0.09741,0.18945,0.25992,0.16028,0.043818,0.11976,0.26297,0.15304,0.057807,0.27988,0.2673,0.17277,0.0041438,0.17646,0.28285,0.23629,0.029081,0.082312,0.23142,0.30764,0.16925,0.23641,0.33161,0.21739,-0.081922,0.11522,0.37314,0.34029
DS-03061,0.32476,0.34803,0.2205,0.15004,0.15845,0.30318,0.30648,0.24064,0.19868,0.26359,0.30127,0.080114,-0.01901,0.31718,0.26233,0.19301,0.023289,0.27565,0.31828,0.084614,-0.093719,0.15215,0.38981,0.16117,-0.10173,0.27368,0.37317,0.051506,0.036433,0.31664,0.14039,0.16507,0.042018,0.24654,0.24717,0.22478,0.029923,0.21077,0.20605,0.15591,0.027094,0.092926,0.18632,0.088842,-0.17655,0.20793,0.18735,0.089871,-0.18718,0.08652,0.25986,-0.02225,-0.10383,0.10194,0.048512,-0.14653,-0.2736,-0.11533,-0.040326,-0.16379,-0.24463,-0.043917,-0.0084012,-0.12257,-0.29979,-0.22262,-0.12623,-0.28799,-0.32427,-0.27617,-0.11062,-0.25689,-0.30655,-0.089735,-0.11569,-0.23525,-0.34747,-0.18916,-0.10331,-0.19598,-0.36795,-0.31752,-0.1309,-0.05867,-0.22394,-0.061936,-0.069326,-0.28657,-0.63964,-0.29357,-0.069745,-0.17538
DS-03072,0.24348,0.26545,0.16252,0.12734,0.059199,0.18736,0.17982,0.14779,0.14285,0.15434,0.19761,0.060329,0.010579,0.1924,0.15611,0.10443,0.043253,0.16787,0.16799,0.041568,-0.046059,0.099654,0.20813,0.07853,-0.080608,0.1485,0.18309,-0.00074958,0.01223,0.17653,0.056,0.072312,-0.021818,0.079149,0.097059,0.097961,-0.024923,0.091945,0.099042,0.078132,-0.002825,0.054915,0.11136,0.099786,-0.12621,0.17781,0.16398,0.087221,-0.056743,0.14901,0.31074,0.14169,0.072635,0.2694,0.30403,0.11163,-0.079332,0.10212,0.1848,0.026703,-0.047341,0.20137,0.23584,0.13214,-0.12033,-0.0093834,0.094885,-0.070516,-0.14571,-0.068698,0.12369,-0.074423,-0.13833,0.1569,0.11008,-0.039732,-0.20757,0.033542,0.17248,0.05743,-0.23244,-0.12988,0.12871,0.19645,-0.0075733,0.18088,0.19029,-0.020258,-0.34529,-0.0047116,0.18361,0.15064
DS-03092,0.13697,0.25002,0.1817,0.13519,0.10619,0.16274,0.19319,0.17417,0.11998,0.15625,0.22178,0.122,0.009971,0.13808,0.20444,0.16928,0.020687,0.12919,0.20539,0.12912,-0.017803,0.011119,0.23674,0.1681,-0.028617,0.085796,0.22393,0.10487,0.0022552,0.1575,0.13598,0.10045,0.022763,0.089874,0.11392,0.13937,0.02684,0.090059,0.11698,0.089744,0.058099,0.015751,0.11646,0.081866,-0.067577,0.058757,0.11026,0.1022,-0.060177,-0.012601,0.15072,0.076279,-0.020941,0.032141,0.09005,0.0094584,-0.14274,-0.12812,-0.040285,-0.076202,-0.17008,-0.069106,-0.0053808,-0.011135,-0.16545,-0.16725,-0.13472,-0.14937,-0.22854,-0.20783,-0.13725,-0.1466,-0.21863,-0.11119,-0.055953,-0.1062,-0.2058,-0.16069,-0.077359,-0.088873,-0.20438,-0.21188,-0.14277,-0.046189,-0.078512,-0.072959,-0.010202,-0.066656,-0.35142,-0.24669,-0.076839,-0.015535
